n1=7 n2=3
0000000: M=0 F=8
0000000: M=1 F=7
0000000: M=2 F=4
0000001: M=0 F=8
0000001: M=1 F=7
0000001: M=2 F=4
0000010: M=0 F=8
0000010: M=1 F=7
0000010: M=2 F=4
0000100: M=0 F=8
0001000: M=0 F=8
0001000: M=1 F=7
0001000: M=2 F=4
0010000: M=0 F=8
0010000: M=1 F=7
0010000: M=2 F=4
0100000: M=0 F=8
0100000: M=1 F=7
0100000: M=2 F=4
0000011: M=0 F=8
0000011: M=1 F=7
0000011: M=2 F=4
0000101: M=0 F=8
0000101: M=1 F=7
0000101: M=2 F=4
0000110: M=1 F=7
0000110: M=2 F=4
0001001: M=2 F=4
0001010: M=0 F=8
0001010: M=2 F=4
0001100: M=0 F=8
0010001: M=1 F=7
0010001: M=2 F=4
0010010: M=0 F=8
0010010: M=2 F=4
0010100: M=0 F=8
0011000: M=0 F=8
0011000: M=1 F=7
0011000: M=2 F=4
0100001: M=2 F=4
0100010: M=0 F=8
0100010: M=2 F=4
0100100: M=0 F=8
0101000: M=1 F=7
0101000: M=2 F=4
0000111: M=2 F=4
0001011: M=0 F=8
0001011: M=1 F=7
0001011: M=2 F=4
0001101: M=0 F=8
0001101: M=2 F=4
0001110: M=0 F=8
0010011: M=2 F=4
0010101: M=1 F=7
0010110: M=0 F=8
0010110: M=1 F=7
0010110: M=2 F=4
0011001: M=1 F=7
0011001: M=2 F=4
0011010: M=0 F=8
0011010: M=2 F=4
0011100: M=1 F=7
0011100: M=2 F=4
0100011: M=2 F=4
0100101: M=1 F=7
0100110: M=1 F=7
0100110: M=2 F=4
0001111: M=0 F=8
0001111: M=1 F=7
0010111: M=2 F=4
0011011: M=0 F=8
0011011: M=1 F=7
0011101: M=1 F=7
0011110: M=1 F=7
0011110: M=2 F=4
